No.,出庫,地金,アイテム,中石,サイズ,品番,上代,下代,脇石,チェーン長,摘要,入力者,入庫日,下代（数値）
149,FALSE,Pt900,リング,ダイヤ,CT,DRA1-1-100,"123,000",20243,,,,fujita,2023/08/18,"12,000"
150,FALSE,Pt900,リング,ダイヤ,CT,DRA1-2-100,"121,000",3026,,,,fujita,2023/08/18,"13,000"
151,FALSE,Pt900,リング,ダイヤ,CT,DRA2-1-100,"140,000",20404,,,,fujita,2023/08/18,"16,000"
152,FALSE,Pt900,リング,ダイヤ,CT,DRA2-3-100,"220,000",20365,,,,fujita,2023/11/01,"12,000"
153,FALSE,Pt900,リング,ダイヤ,CT,DRB2-1-100,"330,000",3043,0.19ct,,,fujita,2023/08/18,"21,600"
154,FALSE,Pt900,リング,ダイヤ,CT,DRB2-2-100,"400,000",3042,0.35ct,,,fujita,2023/08/18,"34,000"
155,FALSE,Pt900,リング,ダイヤ,CT,DRK2-1-100,"450,000",20437,0.43ct,,,fujita,2023/03/08,"32,000"
156,FALSE,Pt900,リング,ダイヤ,1.5CT,04A-427-150,"300,000",106002,,,,komaki,2017/03/23,"49,000"
157,FALSE,Pt900,リング,ダイヤ,1.5CT,04K-13-150,"750,000",104983,0.85ct,,,sato,2016/04/09,"48,400"
158,FALSE,Pt900,リング,ダイヤ,2CT,03A-164-200DSPaveblack,"700,000",30129,0.75ct,,Black=0.75ct/No.181240,不明,不明,"48,400"
159,FALSE,Pt900,リング,ダイヤ,2CT,03B-263-200,"520,000",103182,0.64ct,,,tanaka,2023/11/14,"36,000"
160,FALSE,Pt900,リング,ダイヤ,2CT,03B-285-200,"480,000",104189,0.57ct,,,tanaka,2023/08/02,"29,500"
161,FALSE,Pt900,リング,ダイヤ,2CT,03K-58-200,"675,000",105747,0.65ct,,,komaki,2019/04/01,"34,000"
162,FALSE,Pt900,リング,ダイヤ,2CT,04A-459-200,"300,000",105778,,,,nakajima,2023/07/05,"29,100"
163,FALSE,Pt900,リング,ダイヤ,2CT,04K-13-200,"800,000",107274,0.84ct,,,nakayama,2014/06/26,"22,000"
164,FALSE,Pt900,リング,ダイヤ,2CT,04K-14-200,"520,000",105955,0.51ct,,,komaki,2023/02/20,"26,500"
165,FALSE,Pt900,リング,ダイヤ,2CT,DRB1-4-200,"420,000",404,0.36ct,,,shige,2024/09/13,"37,000"
166,FALSE,Pt900,リング,ダイヤ,2CT,JSD-326,"780,000",30103,0.50ct,,,furuya,2020/07/11,"77,200"
167,FALSE,Pt900,リング,ダイヤ,2.5CT,SAHA-F-1198-DR250,"1,480,000",30248,3.38ct,,,kida,2017/03/17,"23,000"
168,FALSE,Pt900,リング,ダイヤ,3CT,03B-285-300,"350,000",104522,0.53ct,,,fujita,2022/10/13,"24,000"
169,FALSE,Pt900,リング,ダイヤ,3CT,03K-12-300,"680,000",3089,0.66ct,,,河野,2022/03/09,"34,000"
170,FALSE,Pt900,リング,ダイヤ,3CT,04A-459-300,"280,000",105285,,,,tsukamoto,2021/12/11,"24,000"
171,FALSE,Pt900,リング,ダイヤ,3CT,DRB1-4-300,"450,000",20445,0.36ct,,,shige,2024/09/13,"26,000"
172,FALSE,Pt900,リング,ダイヤ,3CT,SAHA-F-1193-DR300,"2,370,000",30248,3.41ct,,,kida,2017/03/17,"29,000"
173,FALSE,Pt900,リング,オーバル,70,09A-197-70,"160,000",20292,,,,fujita,2024/03/13,"44,000"
174,FALSE,Pt900,リング,オーバル,80,09A-150-80,"90,000",101678,,,,shige,2017/04/20,"25,000"
175,FALSE,Pt900,リング,オーバル,90,SAHA-E-0508-90RO,"280,000",50000,0.32ct,,,河野,2022/03/09,"25,000"
